ph,k,na,mg,ca,cl,f,sio2,temp
7.1,5,9,8,43,4,0.03,71,104.7
7.1,44,186,48,251,639,0.04,89,116.6
7.8,4.6,58.7,27.7,91,81.5,0.06,38.2,75.3
7.7,1.5,13.3,7.12,72.4,8.9,0.07,26.4,59.9
6.9,4,6,5,17,2,0.07,54,91.1
7.3,7,21,5,26,4,0.07,58,94.6
7.4,5.6,28.5,2.73,7.8,6.5,0.07,69.6,103.6
7,1.9,11,3.3,16,1.7,0.07,27,60.8
7.5,15,71,14,91,170,0.07,57,93.7
8.1,4.8,11.7,11.1,16.4,1.8,0.07,60.2,96.4
7.7,1.1,10.3,5.43,20.6,1.5,0.08,33.5,69.7
7,4,9,8,35,3,0.08,66,100.9
7.2,8,25,14,46,95,0.08,56,92.9
8.1,1.7,10.1,15.1,39.4,2.9,0.08,17.6,44.5
7.6,12,26,18,53,71,0.09,81,111.5
7.5,8.3,22,22,48,14,0.1,62,97.8
7.1,2.4,12,5.9,25,40,0.1,37,73.9
7,2.9,14,14,26,7.1,0.1,67,101.7
8.1,32.5,486,12,27.9,513,0.1,55.6,92.5
7.2,13,38,14,50,12,0.1,47,84.6
7.9,4.4,14.8,7.29,13.9,7.4,0.1,45.5,83.1
7.5,3.8,14,9.3,28,6.1,0.1,34,70.3
7.4,48,186,50,292,680,0.1,93,119
7.7,3.8,22,16,46,11,0.1,39,76.2
7.5,3.4,26,10,35,47,0.1,35,71.5
6.9,390,19000,1800,1500,35000,0.1,33,69.1
7.5,2.7,18,7.6,31,3.9,0.1,25,57.8
8,3.2,16,16,38,6.7,0.1,33,69.1
7.5,7.7,160,23,52,31,0.1,45,82.6
7.8,5,8.2,7.8,11,0.6,0.1,65,100.2
7.1,3.4,9.7,9.1,17,11,0.1,30,65.1
8.1,2.1,14,6.8,22,4.4,0.1,32,67.8
8.2,3.2,59,3.4,21,24,0.1,19,47.3
7.9,3.5,22,20,80,7.4,0.1,20,49.2
7.1,7.6,20,26,40,12,0.1,63,98.6
7.9,4.1,52,26,69,21,0.1,52,89.3
8.2,43.7,846,1.9,38.9,963,0.1,101.8,124.1
7.9,2.4,12,3.8,21,4.5,0.1,29,63.7
7.5,2.5,24,13,70,17,0.1,30,65.1
7.8,2.7,110,26,75,48,0.1,36,72.8
7.5,4.6,12,18,28,6.1,0.1,58,94.6
7.5,5.9,14,14,25,1.5,0.1,66,100.9
7.7,3.8,63.5,53.9,131,182,0.1,62,97.8
7.6,1.7,14,6.6,23,5.7,0.1,30,65.1
7.8,7.9,53,17,59,44,0.1,62,97.8
7.6,5.8,100,36,114,6.2,0.1,38,75.1
8.6,5.8,42,2.9,9.4,25,0.1,37,73.9
7.5,2.9,19,13,44,6.3,0.1,28,62.3
8.1,39,163,27,71,282,0.1,49,86.5
7.9,23.7,930,1.4,112,1290,0.1,77.7,109.3
7.4,1.3,33,9.3,50,29,0.1,20,49.2
7.9,2.8,23,15,52,8.9,0.1,31,66.4
7,5.6,31,21,33,4.5,0.1,71,104.7
7.7,6.1,28,22,88,24,0.1,52,89.3
8,48.6,798,1.4,54.2,987,0.1,105.3,126
7.5,6.2,19.7,13.3,25.2,14.6,0.1,48.1,85.7
7.3,8.9,35,14,44,46,0.1,60,96.2
7.9,0.7,26,3.9,22,3.9,0.1,35,71.5
7.6,1.1,12,3.4,16,1.5,0.1,28,62.3
7.9,1,25,20,62,5.8,0.1,29,63.7
7.9,4.8,43,26,75,55,0.1,59,95.4
8.4,2.2,17,1.4,8,0.9,0.1,19,47.3
7.8,4.5,21,10,23,7.1,0.1,41,78.4
7.3,8.6,46,50,130,19,0.1,48,85.6
7.8,77,17000,1600,450,6100,0.1,48,85.6
7.9,2.2,23,17,71,14,0.1,45,82.6
7.5,1.2,19,14,64,5.1,0.1,25,57.8
8,0.9,15,7.6,24,2.4,0.1,44,81.6
7.5,0.6,41.7,9.2,47.6,57.3,0.1,22.9,54.3
8.2,0.8,14,0.06,13,1.2,0.1,18,45.3
8.2,0.8,20,2.5,19,1.1,0.1,24,56.2
7.5,2.1,12,5.9,23,3.2,0.1,28,62.3
8.3,1,21,1.7,20,1.1,0.1,27,60.8
8.4,4.1,100,3.8,15,12,0.1,57,93.7
7.5,2.4,14,7.6,25,5.8,0.1,32,67.8
7.5,1.6,5.5,22,56,4.3,0.1,16,41.1
8.7,1.4,28.1,0.883,3.5,1.9,0.1,19.9,49
7.9,6.2,28,7.63,17,7.4,0.11,69.3,103.4
7.6,5.6,30.8,20.4,49,22.5,0.11,55.6,92.5
8.2,6,21.7,9.35,26.4,3.5,0.11,59,95.4
7.5,9,33,3,20,7,0.12,74,106.8
7.5,13,37,14,44,72,0.12,73,106.1
7,5.2,64.3,50.4,194,219,0.13,48,85.6
7.4,3,75,9,30,6,0.13,33,69.1
7.5,4.2,28,10.8,27.6,16.5,0.14,35.5,72.2
7.5,8,42,12,48,9,0.14,51,88.4
6.9,5.5,30.4,29.8,51,11.2,0.15,54.9,91.9
7.3,13,64,10,20,10,0.16,110,128.5
7.4,4.7,20.4,16.7,44.1,8.9,0.17,42.5,80
7.8,4,21.5,10.3,28.2,10,0.17,43.3,80.9
7.5,1.1,13.5,5.28,19.3,2.7,0.17,36.6,73.5
7.2,1.3,129,26,86,62.7,0.18,52.7,90
7.8,3,23.4,3.098,30.8,17.1,0.191,25.2,58.1
8.2,2,33,8.1,15,9,0.2,30,65.1
7.5,3.6,19.6,8.13,19.2,7.1,0.2,37.9,75
7.3,3.7,22,8.2,22,3.1,0.2,73,106.1
7.3,3.2,54,20,64,14,0.2,60,96.2
7.4,3.5,38,11,50,6.6,0.2,52,89.3
7.2,7.1,31,19,46,16,0.2,49,86.5
8.1,4.7,23,5.3,21,6.9,0.2,49,86.5
7.5,7.7,35.5,5.07,19.8,3.3,0.2,64.1,99.5
7.3,16,160,230,230,170,0.2,24,56.2
7.4,5.5,33,38,92,30,0.2,49,86.5
7.4,14,200,85,170,180,0.2,45,82.6
7.5,4,26,11,38,24,0.2,39,76.2
7.8,5.2,26,7.8,26,9.5,0.2,36,72.8
8.3,4.6,30,6.6,13,9.4,0.2,36,72.8
7.7,2.1,24,18,34,7.3,0.2,47,84.6
7.6,3.2,19.7,16.4,45.6,19.2,0.2,35.5,72.2
7.9,2.6,25,5.5,24,3.7,0.2,56,92.9
7.7,3.4,12.4,3.94,16.7,1.2,0.2,27.5,61.6
7.4,1.9,26,9.6,42,16,0.2,37,73.9
7.8,5.5,39,5.2,20,34,0.2,59,95.4
7.7,2.9,23.7,7.8,26.8,6.2,0.2,51,88.4
8.2,5.3,31,3.9,8.9,8,0.2,38,75.1
8.1,2.8,20,5.2,19,4.8,0.2,37,73.9
7.6,3.3,19,14,42,4,0.2,69,103.2
7.7,1.9,37,25,91,72,0.2,20,49.2
7.9,0.7,15,4.5,15,3.4,0.2,26,59.3
7.8,8,75,13,36,62,0.2,68,102.5
7.1,2.1,37,36,120,7,0.2,41,78.4
7.3,2.9,33,22,67.8,18.2,0.2,30.1,65.2
7.3,3.8,20.5,5.13,18.6,6.2,0.2,23.5,55.3
8,4.3,44,4.1,22,27,0.2,33,69.1
7.8,2.4,15,6.6,24,4.6,0.2,32,67.8
7.7,2.3,7.7,34,60,11,0.2,20,49.2
7.3,7.6,34,9.7,40,12,0.2,52,89.3
7.5,1.2,21.7,4.36,20.2,4,0.2,31.7,67.4
7.5,4,29,9.3,36,22,0.2,26,59.3
7.2,24,202,43,68,360,0.2,79,110.2
7.5,0.9,9.5,4.1,8.9,1.1,0.2,40,77.3
7.8,9.4,48,2.9,11,3.1,0.2,73,106.1
8.4,5.2,33,3.2,8.6,8.1,0.2,30,65.1
7.6,6.6,83,9.2,34,73,0.2,61,97
7.4,21,160,41,107,264,0.2,88,116
8.4,2.6,67,21,75,6.1,0.2,54,91.1
7.8,1.6,30,3.3,41,12,0.2,31,66.4
8,8.7,59,16,55,45,0.2,59,95.4
8,3.1,20,9.5,33,1.8,0.2,31,66.4
7.4,2.6,56,24,122,20,0.2,54,91.1
8.1,3.5,33,4.2,8.9,7.9,0.2,35,71.5
7.7,2.9,17.9,12.3,34.3,10.8,0.2,28.7,63.3
7.6,5.1,44,100,160,130,0.2,20,49.2
7.6,19,230,180,370,240,0.2,25,57.8
7.8,3.9,17,12,35,7.2,0.2,37,73.9
7.3,47,530,430,530,430,0.2,27,60.8
8.2,2.1,37,24,94,15,0.2,36,72.8
7.7,5.4,10.3,9.09,16.4,1.2,0.2,63.3,98.9
7.8,8.4,30,32,400,24,0.2,31,66.4
7.9,2.8,21,10,38,11,0.2,36,72.8
7.6,2.6,12,11,32,7.4,0.2,37,73.9
7.7,2,8.2,13.4,67.5,5.8,0.2,19.1,47.5
7.8,6.7,24.8,8.39,53,35.4,0.2,59.9,96.1
7.7,2.5,23,6.3,64,9.6,0.2,24,56.2
7.9,1.9,39,18,51,16,0.2,44,81.6
7.9,8,510,29,100,300,0.2,39,76.2
7.6,2.4,15.4,4.86,31.3,1.8,0.2,22.2,53.2
8.2,1.4,37,5.4,15,8.4,0.2,27,60.8
7.5,3.8,83,14,52,8.7,0.2,45,82.6
8,4.8,30,10,40,13,0.2,67,101.7
8.1,2.6,26,1.2,4.6,2.1,0.2,53,90.2
8,5.5,21,13,63,11,0.2,69,103.2
7.7,2.7,87,16,89,120,0.2,22,52.8
7.9,1.8,26,12,50,5.8,0.2,27,60.8
8,5,21,10,38,12,0.2,54,91.1
7.4,2.3,20.3,9.11,46.3,7.2,0.2,27.5,61.6
8.2,3.5,99,5.5,25,85,0.2,53,90.2
8,8.4,33,24,54,12,0.2,63,98.6
7.2,4.2,29,20,71,7,0.2,22,52.8
8.1,4,34,15,46,48,0.2,58,94.6
7.5,1.6,6.8,27,48,7.4,0.2,17,43.3
8.3,27,270,4.6,5.5,45,0.2,41,78.4
7.4,10,54,54,130,67,0.2,65,100.2
7.5,3.9,26,48,87,40,0.2,17,43.3
8.2,4.3,14,9.4,44,29,0.2,61,97
7.1,3.8,23,11,32,32,0.2,24,56.2
8,2,25,26,43,28,0.2,59,95.4
7.4,6.4,41,23,120,51,0.2,50,87.5
7.3,6,16,11,26,3.5,0.2,57,93.7
8,3,19.1,11.9,34,16.1,0.2,33.2,69.3
8.4,5.6,33.5,3.37,7.1,7.6,0.2,37.6,74.6
7.5,5.4,290,22,48,56,0.2,55,92
7.7,5.3,44,12,44,12,0.2,41,78.4
8.2,3.1,38.7,6.99,12.2,15,0.22,30.7,66
8.1,1.9,36.5,5.65,12.4,9.6,0.22,33.2,69.3
7.9,7.2,76,6.35,10.3,31.4,0.23,62.2,98
7.5,15,51,15,108,184,0.23,60,96.2
7,1.1,69.7,38.3,141,26.9,0.23,49.2,86.7
7.9,4.7,53.4,7.67,19.9,20.2,0.23,74,106.8
7.7,4.7,49.9,11.6,50.4,58.9,0.24,63.1,98.7
7.8,7.2,35.7,5.2,17.5,13.3,0.27,28.5,63
7.1,1.5,26.9,18.472,66.9,17.3,0.277,25.7,58.8
7.9,5.7,48.4,8.73,20.2,10.1,0.29,50.3,87.8
7.9,1.4,14.4,13.5,45.2,7.2,0.29,18,45.3
8,3.8,19,15,61,5.3,0.3,32,67.8
7.6,3.9,42.2,5.04,17.6,7.9,0.3,59.4,95.7
8.8,8.3,200,0.61,2.9,14,0.3,39,76.2
7.4,8.3,47,99,230,77,0.3,22,52.8
8.1,14,47,5,19,13,0.3,47,84.6
7.4,7.1,46,65,130,44,0.3,21,51
