ph,k,na,mg,ca,cl,f,sio2,temp
9.51,1.62,62.6,0.04,1.54,24,0.51,83.7,86
8.54,4.58,159.6,0.15,30.3,246.7,0.23,62.2,70
8.94,2.88,136.1,0.05,11.3,171.7,2.5,71.8,70
9.57,0.74,34,0.08,2.34,14.2,0.39,55.4,76
9.42,1.08,42.1,0.06,2.08,10.5,0.69,71.2,81
9.63,1.71,41.6,0.08,2.03,18.4,0.41,94.3,100
9.44,2.6,57.1,0.24,2.56,36.4,0.82,147.8,129
8.62,10,355.5,0.1,139,670.8,0.87,112.1,114
8.92,3.74,105.7,0.47,10.7,109.9,2.06,112.2,100
6.86,10.1,159,0.03,8.37,152.2,1.3,231.9,157
8.36,19.6,387.5,0.07,67.1,658.5,0.55,133.6,134
9.06,4.2,141.4,0.07,23.7,139.5,3.76,102.3,87
9.38,2.32,72.5,0.05,1.62,25.6,2.22,111,92
9.68,1.46,51,0.06,2.88,11.3,0.39,96.5,93
6.94,27.6,244.2,0.66,15.4,263.8,2.97,237.2,128
9.37,2.12,58.6,0.6,2.8,32.5,0.56,100.5,100
7.57,15.3,57.92,80.38,473.9,31.73,2.9,38,50.2
7.55,15.3,55.5,75.51,449.8,28.71,2.9,38,49.2
9.75,25.81,222.08,0,4.01,17.37,0.91,479.52,240
9.65,31.28,223,0,2,42.19,1.99,649.57,300
9.73,17.2,217.95,0,3.61,30.49,0.76,362.94,225
9.55,25.42,226.68,0,3.61,25.53,0.8,474.11,240
5.57,1553.91,10705.29,0.93,1893.78,21351.57,0.23,829.84,310
7.05,36.8,1512,1.86,62.4,2060,1.24,41.3,115.1
8.97,116,1220,0.36,1.2,124,17.8,364,196
8.89,138,1300,0.23,2,128,20,364,195
8.96,152,1410,0.2,1.2,144,24.8,392,207
8.82,138,1340,0.15,1.2,140,22.3,393,205
8.94,148,1400,0.24,3.2,136,23.5,398,211
8.92,140,1375,0.15,1.6,140,22.5,367,201
9.02,131,1325,0.24,1.8,140,21,387,202
9.3,140,1275,0.24,1.2,136,22.5,392,202
9.38,100,643.9,30,289.2,84.8,9.64,165.9,144
9.28,93.45,721.1,14.8,161.4,77,14.01,225.5,148
9.38,106.7,867.3,7.9,65.5,76.3,11.07,188.1,140
9.03,102.5,876.5,7.9,68.4,74.1,9.63,198.9,144
7.04,25.8,141.4,0,0.24,151.1,0.94,596,274
9.47,1.9,75.1,0,1.72,27.4,2.2,123.1,89
9.49,3.98,356.1,0.01,35.76,527,1.32,66.7,69
9.58,1.8,52.5,0,2.36,28.5,0.69,139,127
7.4,15.5,195.4,0,3.17,40.3,0.73,337,199
6.83,21.1,114.8,0,0.35,93.1,0.45,536,268
